integers,floats,mixed_negatives
1746,0.6438893194203184,0.22121536582203838
3130,0.013271882798083667,-6.0879028336297925
6619,0.8645800920614474,-9.897566765005388
5332,0.9876601125651083,0.24058147168497257
3137,0.8360398792966526,-7.514474814006606
951,0.6299202783081265,-5.144477595928347
7279,0.62270035376611,2.5927775494957075
9308,0.5705326966666769,2.3801140294030994
1549,0.9633832900304701,6.338542785633869
698,0.3859457856884777,-8.597276776779367
5615,0.11724215153915485,-1.463275268025816
461,0.36058386841690937,4.447558061470225
5239,0.06006042897234254,-7.262761470306447
8797,0.8470053540373977,-2.131344220612281
5074,0.2882258910247242,1.436375219341997
799,0.346893389070826,7.978419144240828
7692,0.7441159486192741,6.40885864961637
1029,0.14899223966935615,8.488205144167743
6348,0.8773357823571096,0.27109410218800356
4678,0.17174311683362686,-5.24381976195057
8057,0.8199950233423485,-4.755763786691065
3846,0.3393529446082446,-0.43511527116901405
6937,0.7746660952822823,-5.3490622275302435
7249,0.900665980484576,-4.466968920552277
7574,0.8496816684763033,2.153814344323761
8755,0.9021981279082436,-2.047525522712876
4907,0.09361221955320687,9.958898365131631
6739,0.13391792308705286,8.507728058427507
7147,0.4074378211457652,-7.6815088622276235
1557,0.0628970257944591,-4.514213011672621
7153,0.315897797388919,-9.63799284106641
624,0.8702444962461687,-4.297975616516501
7360,0.20963610895219664,0.2993950061989725
9384,0.8228712138116915,1.9860664776286878
3019,0.8941921170936779,-1.7779480288778373
7497,0.967678651318797,4.210986022045674
1333,0.1976465523111618,5.298669767282835
3665,0.6654810838469979,9.167888346464402
4858,0.9850547536492383,3.4089388493192967
3257,0.13004894768215136,3.3353860287315733
6870,0.6069708107867604,-3.336466654184049
85,0.95410328160042,-8.073892699444398
6653,0.9063826727405476,-8.844187656730863
638,0.3907030521224937,-9.757043614381697
3890,0.401654603219082,-8.463008920410173
34,0.5092529251061003,-7.178639455661406
3722,0.3024369042575483,3.9381280807259316
6371,0.9364621936620091,0.8145129813373337
803,0.3804538661261013,7.692825369818468
820,0.05453574808417816,-5.739382299991879
360,0.28588359472336045,1.046549013668944
6204,0.20703212395588688,-9.914678159416255
809,0.4029812063856999,5.606607342236561
8164,0.12259952379973615,3.513148262931189
9397,0.07146920318881522,-4.052540236525662
8230,0.3921335585289536,-1.9431975473416596
3363,0.08561869126024235,3.6884298051981936
6155,0.7838110121132397,-8.336075303083826
7622,0.73973713882371,3.4435179740005832
678,0.05881639072411382,3.6034385956771846
2442,0.05470633631356081,9.710930138789625
7676,0.14649653746218105,-2.453541279072371
6216,0.31997036370612175,9.694778658956313
2577,0.3530074671417328,-7.368266409113082
9484,0.5768900638400318,3.9636078036022067
6436,0.5762598102925053,-5.142743657785019
1753,0.49549512003708507,9.947181740346366
8410,0.7884458146997627,-7.257432997762421
1230,0.9520058144795249,-1.0639877909603932
9006,0.5581780002757475,-8.785901371044474
4285,0.13171928723957194,5.893525593532306
9132,0.4164324339819556,-6.355245118272332
9332,0.5573689773060553,2.0594468348872557
4373,0.6384958493360774,-6.277523192740793
3341,0.47357469075803993,-6.6104692396989755
5871,0.5362657692237992,8.054980535301482
9641,0.2612236478798434,-3.2201950427942805
2912,0.7923450626086788,4.836846473029617
229,0.8007723578151889,6.146428331537244
7317,0.5991787834502781,-4.558171764228862
6601,0.609474921642986,1.4781764546642524
6661,0.19910996940516668,9.749378109503933
9357,0.6147318363147565,-9.845212111292065
3236,0.5975841830653857,-9.764510462154565
1689,0.948491994890624,9.829269910419569
6892,0.013088346805310569,7.7942722925890635
8649,0.10790781367932745,-8.373988632102233
6217,0.11006639663297946,3.93188723719787
9755,0.632701810727806,3.1305978002192916
6220,0.9763266464774395,2.7740068646889426
6539,0.8753559277858503,1.9588223469778043
1554,0.8246768590397662,0.9326698029191967
81,0.2247757854231991,4.166096804377508
9841,0.841306404833909,-5.578344542795652
7607,0.6844945404632151,-3.7121510269070246
9088,0.8911187830210747,9.120166911919089
1840,0.4033160818698206,1.679896125131478
9601,0.4602612703024337,8.348815396419006
8610,0.6548613401686227,-0.8282856123541489
1641,0.5151649568330977,6.794964267966574
6491,0.2707455952999511,7.456856136043925
1779,0.8826869286462337,-9.230164637204721
4664,0.4470583750797642,8.865520355642673
8753,0.46566045836542713,4.412291892645278
2516,0.915577328339399,-2.0255408494554388
2068,0.9739628177955217,5.147655618680151
9512,0.2656822501739401,0.11355852519201726
1352,0.544691332856753,-0.964933012257605
4396,0.971045876752487,8.9645936119225
7735,0.7872146662942785,4.338909007279565
7445,0.7399097294338185,-6.785908491693114
7025,0.7581852602505345,2.3147299581763185
5228,0.4002134122338151,7.195228343750614
6530,0.6720202807893972,2.5364940119362505
1547,0.7322863792627745,-7.156057400426654
1041,0.9816517565980047,-1.195251982984031
9248,0.027962987074975354,0.25948220209429884
3085,0.6556534003915742,0.8925605665504843
9031,0.40145705491875827,-8.37265833587078
2082,0.02461096526120099,6.240945728154934
7280,0.8912604809878317,5.581627378005445
1836,0.9665166850510376,9.567777170807965
5311,0.6491722896742947,-4.271308727631801
8657,0.25421543139119995,-0.5367969932400172
8699,0.3024369042575483,-4.294416060567119
3943,0.29312340648031177,-6.605132597422328
7616,0.5994895996352592,-8.292365064401464
8796,0.9802777752927654,6.63413639897119
7647,0.45803019070173157,-4.755763786691065
2834,0.223210777690923,1.2143593815376406
9374,0.7581852602505345,-2.2964945386554554
2363,0.8613264855235901,-8.464504882756676
6385,0.8285272317070523,3.734626510545599
4417,0.02093581839354841,1.8618182784472204
3658,0.4470755977645726,-4.502441257712057
5207,0.9141704363704153,8.647242441229942
3953,0.5239942111021949,9.49841956727975
4,0.3538275778367752,2.860819572471474
9875,0.6768912890004989,-3.291457951870955
1298,0.3995949262036773,-4.37630962674522
2253,0.46047896947492706,-4.539067400546077
7035,0.3128812114906412,3.2997568430944018
1812,0.3436046406783443,-4.806525480340948
9036,0.9700710936052095,-6.758871748409958
722,0.978169241330274,-9.968810123321356
7792,0.01714267250475998,6.304025105898575
1881,0.3376751697732997,9.217777968556216
4959,0.40798212825449354,-1.845315163621006
2808,0.6137850504226431,3.046754702059438
4023,0.020455391817626345,5.030245023377656
771,0.4355116531474853,0.3206568069674596
5067,0.26405581175869886,-8.958703939435896
6741,0.6272164035874276,0.6131920292758792
2068,0.06786062087542233,1.1090273524384067
